output is 
36546 0.556863 0.556863
36547 0.678431 0.678431
36548 0.756863 0.756863
36549 0.556863 0.556863
36550 0.678431 0.678431
36551 0.756863 0.756863
36552 0.556863 0.556863
36553 0.678431 0.678431
36554 0.756863 0.756863
36555 0.556863 0.556863
36556 0.678431 0.678431
36557 0.760784 0.760784
36558 0.556863 0.556863
36559 0.678431 0.678431
36560 0.760784 0.760784
36561 0.556863 0.556863
36562 0.678431 0.678431
36563 0.760784 0.760784
36564 0.552941 0.552941
36565 0.67451 0.67451
36566 0.756863 0.756863
36567 0.54902 0.54902
36568 0.670588 0.670588
36569 0.752941 0.752941
36570 0.54902 0.54902
36571 0.670588 0.670588
36572 0.752941 0.752941
36573 0.545098 0.545098
36574 0.670588 0.670588
36575 0.752941 0.752941
36576 0.545098 0.545098
36577 0.670588 0.670588
36578 0.752941 0.752941
36579 0.545098 0.545098
36580 0.670588 0.670588
36581 0.752941 0.752941
36582 0.541176 0.541176
36583 0.666667 0.666667
36584 0.74902 0.74902
36585 0.537255 0.537255
36586 0.662745 0.662745
36587 0.745098 0.745098
36588 0.537255 0.537255
36589 0.662745 0.662745
36590 0.745098 0.745098
36591 0.537255 0.537255
36592 0.662745 0.662745
36593 0.745098 0.745098
36594 0.537255 0.537255
36595 0.662745 0.662745
36596 0.745098 0.745098
36597 0.537255 0.537255
36598 0.662745 0.662745
36599 0.745098 0.745098
36600 0.537255 0.537255
36601 0.662745 0.662745
36602 0.745098 0.745098
36603 0.533333 0.533333
36604 0.658824 0.658824
36605 0.741176 0.741176
36606 0.533333 0.533333
36607 0.658824 0.658824
36608 0.741176 0.741176
36609 0.533333 0.533333
36610 0.658824 0.658824
36611 0.741176 0.741176
36612 0.529412 0.529412
36613 0.654902 0.654902
36614 0.737255 0.737255
36615 0.529412 0.529412
36616 0.654902 0.654902
36617 0.737255 0.737255
36618 0.529412 0.529412
36619 0.654902 0.654902
36620 0.737255 0.737255
36621 0.529412 0.529412
36622 0.654902 0.654902
36623 0.737255 0.737255
36624 0.52549 0.52549
36625 0.65098 0.65098
36626 0.733333 0.733333
36627 0.52549 0.52549
36628 0.65098 0.65098
36629 0.733333 0.733333
36630 0.52549 0.52549
36631 0.65098 0.65098
36632 0.733333 0.733333
36633 0.52549 0.52549
36634 0.65098 0.65098
36635 0.733333 0.733333
36636 0.52549 0.52549
36637 0.65098 0.65098
36638 0.733333 0.733333
36639 0.521569 0.521569
36640 0.647059 0.647059
36641 0.729412 0.729412
36642 0.513726 0.513726
36643 0.65098 0.65098
36644 0.729412 0.729412
36645 0.509804 0.509804
36646 0.647059 0.647059
36647 0.72549 0.72549
36648 0.509804 0.509804
36649 0.647059 0.647059
36650 0.72549 0.72549
36651 0.501961 0.501961
36652 0.639216 0.639216
36653 0.717647 0.717647
36654 0.505882 0.505882
36655 0.643137 0.643137
36656 0.721569 0.721569
36657 0.505882 0.505882
36658 0.647059 0.647059
36659 0.729412 0.729412
36660 0.505882 0.505882
36661 0.639216 0.639216
36662 0.729412 0.729412
36663 0.501961 0.501961
36664 0.639216 0.639216
36665 0.729412 0.729412
36666 0.501961 0.501961
36667 0.639216 0.639216
36668 0.729412 0.729412
36669 0.505882 0.505882
36670 0.639216 0.639216
36671 0.729412 0.729412
36672 0.498039 0.498039
36673 0.635294 0.635294
36674 0.721569 0.721569
36675 0.498039 0.498039
36676 0.631373 0.631373
36677 0.721569 0.721569
36678 0.494118 0.494118
36679 0.631373 0.631373
36680 0.721569 0.721569
36681 0.494118 0.494118
36682 0.631373 0.631373
36683 0.721569 0.721569
36684 0.490196 0.490196
36685 0.627451 0.627451
36686 0.717647 0.717647
36687 0.490196 0.490196
36688 0.627451 0.627451
36689 0.717647 0.717647
36690 0.486275 0.486275
36691 0.619608 0.619608
36692 0.713726 0.713726
36693 0.486275 0.486275
36694 0.623529 0.623529
36695 0.705882 0.705882
36696 0.501961 0.501961
36697 0.631373 0.631373
36698 0.713726 0.713726
36699 0.47451 0.47451
36700 0.603922 0.603922
36701 0.67451 0.67451
36702 0.458824 0.458824
36703 0.576471 0.576471
36704 0.647059 0.647059
36705 0.4 0.4
36706 0.513726 0.513726
36707 0.580392 0.580392
36708 0.364706 0.364706
36709 0.47451 0.47451
36710 0.541176 0.541176
36711 0.372549 0.372549
36712 0.486275 0.486275
36713 0.560784 0.560784
36714 0.341176 0.341176
36715 0.470588 0.470588
36716 0.541176 0.541176
36717 0.454902 0.454902
36718 0.588235 0.588235
36719 0.658824 0.658824
36720 0.490196 0.490196
36721 0.619608 0.619608
36722 0.698039 0.698039
36723 0.498039 0.498039
36724 0.611765 0.611765
36725 0.698039 0.698039
36726 0.494118 0.494118
36727 0.607843 0.607843
36728 0.690196 0.690196
36729 0.478431 0.478431
36730 0.6 0.6
36731 0.67451 0.67451
36732 0.501961 0.501961
36733 0.619608 0.619608
36734 0.694118 0.694118
36735 0.439216 0.439216
36736 0.556863 0.556863
36737 0.631373 0.631373
36738 0.352941 0.352941
36739 0.466667 0.466667
36740 0.541176 0.541176
36741 0.454902 0.454902
36742 0.564706 0.564706
36743 0.643137 0.643137
36744 0.498039 0.498039
36745 0.611765 0.611765
36746 0.694118 0.694118
36747 0.478431 0.478431
36748 0.607843 0.607843
36749 0.690196 0.690196
36750 0.470588 0.470588
36751 0.607843 0.607843
36752 0.705882 0.705882
36753 0.470588 0.470588
36754 0.611765 0.611765
36755 0.709804 0.709804
36756 0.462745 0.462745
36757 0.6 0.6
36758 0.694118 0.694118
36759 0.466667 0.466667
36760 0.603922 0.603922
36761 0.694118 0.694118
36762 0.462745 0.462745
36763 0.603922 0.603922
36764 0.701961 0.701961
36765 0.462745 0.462745
36766 0.603922 0.603922
36767 0.698039 0.698039
36768 0.462745 0.462745
36769 0.603922 0.603922
36770 0.698039 0.698039
36771 0.458824 0.458824
36772 0.6 0.6
36773 0.698039 0.698039
36774 0.454902 0.454902
36775 0.596078 0.596078
36776 0.686275 0.686275
36777 0.447059 0.447059
36778 0.588235 0.588235
36779 0.694118 0.694118
36780 0.447059 0.447059
36781 0.588235 0.588235
36782 0.709804 0.709804
36783 0.443137 0.443137
36784 0.584314 0.584314
36785 0.701961 0.701961
36786 0.439216 0.439216
36787 0.576471 0.576471
36788 0.694118 0.694118
36789 0.45098 0.45098
36790 0.584314 0.584314
36791 0.698039 0.698039
36792 0.45098 0.45098
36793 0.584314 0.584314
36794 0.694118 0.694118
36795 0.443137 0.443137
36796 0.580392 0.580392
36797 0.682353 0.682353
36798 0.447059 0.447059
36799 0.584314 0.584314
36800 0.67451 0.67451
36801 0.45098 0.45098
36802 0.584314 0.584314
36803 0.67451 0.67451
36804 0.45098 0.45098
36805 0.584314 0.584314
36806 0.67451 0.67451
36807 0.45098 0.45098
36808 0.584314 0.584314
36809 0.67451 0.67451
36810 0.454902 0.454902
36811 0.584314 0.584314
36812 0.678431 0.678431
36813 0.443137 0.443137
